date,text,title,rating
2017-07-25,"I really wanted to love this. I have waited a few months before writing this review so that I could really live with it before giving my feedback. I was excited when I bought it. I am not a fitness person, so I didn't mind the reviews that criticized the accuracy of the step count etc. I got it because I wanted to monitor (give or take) my overall activity, sleep and stress levels. I also dislike the look of the fitbit. I am a working mom, so not super glamorous, but still wanted something pretty to look at. On paper I thought the bellabeat had everything I wanted.First, the pros: I like the fact that you can track you sleep, steps, stress and even your meditation. So the idea of it is good. My favorite is the step tracker.The cons:1) It is much too big. This is much larger than a standard woman's watch. When I carry my son with my arm on which I wear the bellabeat, he complains that it hurts him because it digs in his sides.2) The bracelet it comes with is worthless. I started wearing it and it doesn't close completely so it was falling off everywhere. Even when I wasn't doing anything super active. So I had to buy a bracelet on Etsy, with lobster claws and I didn't love it either. Finally I had to have one specially made that makes it look OK, but still not ideal. Finally the specialty bracelets made for it ended up costing me more than the bellabeat itself.3) The sleep tracker is way off. This was one of the main reasons I got it. I wanted to track my sleep. But I end up having to enter it in manually every day as the tracker does not pick up when I am sleeping - or sometimes picks up that I am sleeping when I am wide awake. I thought I had to enter it  manually the first few weeks to get used to my schedule and then it would start to know my habits, but it still doesn't track my sleep properly after wearing it for 3 months straight.Conclusion, the only reason I am giving it 2 stars is because I think the idea of a ""well rounded"" fitness tracker for women is really good. I just think they need to make it much smaller so it can really look like jewelry and of course improve the sleep tracker, and bracelet.",I really wanted to love this.,2
2018-04-16,"I am leaving this feedback as I was previously very pleased with my Leaf.  I started having issues with it several months ago - it was losing data often.  The company replied to my concerns and gave me directions to reset it, which I did - I had to also replace the perfectly good recently replaced battery though.  Well now it will not sync at all, hasn't synced in about a month.  I tried replacing the battery and going through the steps they recommended.  The company is now ignoring my customer service requests and not responding now that my Leaf is completely useless and won't do anything.  I've asked for a replacement and they will not respond to me.  Oh well, it was nice for the 6 months that it worked but I am so disappointed in the outcome and customer service.",Only worked for about 6 months and now I'm receiving no customer service support,1
2017-06-27,"I've been enjoying my Leaf Urban for a few months, now. Overall, I'm very pleased with my purchase! There are a few things I would like her to do that she doesn't... yet... but I'm guessing such improvements are in the works. From reading previous early reviews, the company pays attention to customer feedback and has already added useful updates via the app.To be honest, I chose the Bellabeat Leaf Urban over other similar devices solely based on aesthetics. It's pretty. If I'm going to wear it every day, it may as well be pleasing to look at. I like the weight of it, although for sleeping it sometimes feels a bit much. Not a fan of gold chains, I wear mine on a leather cord around my neck, or on my wrist w/the included bracelet, which I love! Once you get the size set, it's super easy to take on and off.  I've only lost it one time so far, while pulling a sweater off, and it got flung across the room. I've since tightened the strap and problem solved. Hopefully, because I'm really liking my new toy! And I especially like when people say how pretty my ""bracelet"" is and I casually reply that it's actually a fitness tracker;)ACTIVITY: On several different hikes/walks,  I've tested the accuracy against my Endomondo app and my friend's Fitbit. Bella was impressively close considering she doesn't have GPS and those others do. My theory is that as long as I'm moving my body, I'm happy. 400 steps isn't going to be a deal breaker anyway. More importantly, I've realized that setting goals (via the app) enables me to motivate myself to do more. I find myself competing with my own history!My one big complaint: My Leaf has tracked me while driving several hours in traffic, and awarded me 14,000 undeserved steps. I drive a huge bouncy bus for a living, so this isn't a one-time problem. On such drives, I've learned to wear it as a necklace to avoid the miscalculation;( I get it. Movement. BUT I would like to be able to correct/edit the error on the app. Aside from my daily tally being off, my weekly tally (which was a surprise bonus to get in my email!) was also skewed. Maybe they will add that to future updates???SLEEP: I really didn't think I'd use or care much about this function. I was wrong. Just seeing the patterns laid out in front of me really does make me cognizant of how much, or how little, sleep I'm getting. AND I've justified a few naps this month in order to meet my daily sleep goals, haha! Furthermore, there's something to be said for the visual showing how my sleep, activity, meditation, and period all affect my stress levels.MEDITATION: Surprisingly, this may be my favorite feature. I'm not one to sit still, so the thought of meditating doesn't generally enter my mind. Until now. And since I've set a ""2 sessions daily"" goal, I actually will make time to stop and breathe. The shorter 2-3 minute sessions come in handy throughout my busy work days; and my husband even asks for the 10 minute ""Deep Sleep"" before bed. It would be nice to get new meditations every now and then, as I'm already memorizing a few from repetition.STRESS: the jury is still out on this one since there are times I KNOW my stress resistance is at a low, but Bella says I'm fine. It would be nice to have a pulse reading capability to give myself reminders to slow/calm down or just to see what my triggers are.CUSTOMER SUPPORT: Ive honestly been disappointed with the help section on the App. Yes, there are several pre-answered questions, but there isn't a place to type in your own individual question and send it off to Bellabeat's cyber gods for help. Maybe there is and I missed it?? Or hopefully that's in the works, as well.APP: the interface is clean and clear and straight forward. I love that they include Dog Walking and Bikrams Yoga in the activity list, but I'd love to see ""hiking mountains"" in addition to the existing ""hiking cross country"". It's a tiny request.Last, but not least, some people have asked if my Leaf gets text messages, receives calls, or can check emails... THANK GOODNESS, NO. I'm plenty connected enough and I certainly don't need any additional RF waves coursing through my body every second of every day. This was actually another huge selling point in choosing this product. I know progress happens, but I hope future versions continue to offer the opt out models;)All in all, I wouldn't hesitate to buy this product again, or to recommend it to all my friends!",Enjoying my new toy,5
2017-11-28,"I am loyal to my Bellabeat Leaf! I bought this a few months ago, and have only gone 2 afternoons without it on. I wear it non-stop, I don't even notice it's there. The tracker is great, if your being a lazy couch-potato, you can set it to where it gently vibrates to remind you to walk around. It wakes me every morning at 6:15, and it's great to have that gentle wake-up.Pro: the battery life. I have owned 2 Fitbits, and I wore both for a period of a few weeks before I stopped. The issues was the batteries, I would take off to charge, and never put them back on. or the would die mid-day and just annoy me. Also the aesthetics, the leaf is down right beautiful. I get so many compliments on it. People think it's jewelry- and I have to say I love the look. I am overall a minimalist who doesn't wear much jewelry, but this complements all my outfits, and literally goes with everything! Low profile- I love this thing, the fitbit was very bulky on my wrist and despite the different bands, always annoyed me while typing and sleeping. The leaf, I don't even notice it's there. The band is leather, and after a week it wore perfectly to me and it's so light, it's like it's not there.Con: The leaf does get stuck in my clothing sometimes, so you want to be careful when removing clothes, especially sweaters. I take it off for Roller Derby- this one is probably not going to affect many people. But I do take it off for derby practice. Given that it's hard and could potentially hurt me if I feel on my wrist, I don't wear it for contact sports. But for yoga, and running, I wear it and don't even notice it's there.Overall- highly recommend. It's beautiful, simple, and elegant. The app works really well, and you only have to check in every 14 days! So if you don't like to get the day to day, you don't have to. Check out their website for more information, but hands down- I love my leaf. It make me think about my health on a life style level, versus how many steps. I now think about how exercise, water, sleep affects my stress and I am learning how to control those things. Great product!",Perfect Tracker for Me!,5
2017-03-13,"I discovered the Bellabeat Leaf in the early days. Back when you had to be on a waiting list to buy one when they'd release them in batches. I eventually was able to stop waiting and was able to finally purchase one on Amazon. I wanted it because it tracked steps, your cycle, sleep and offered meditation options. Most of all it was a very female oriented business. I looked at the FitBit but didn't want the bracelet on my arm all the time, this looked much prettier. However, wearing the Leaf as a bracelet didn't work out for my tiny wrists, the Leaf is just a smidge to big for my comfort. I always wear it clipped to my pants which is the recommended best spot for calculating steps anyway.I'm on my fourth Leaf. In the beginning they had a lot of hiccups. I almost gave up on the product except that their customer service was SO AMAZING. They always responded within 24 hours and were always helpful on getting my Leaf up and running again and when it didn't, they sent me a new one free of charge. Unfortunately, this happened twice as I received two faulty Leaves in their early days. I am now on my fourth because my beloved working Leaf fell off somehow, somewhere and I am addicted at tracking my progress. So this was the time to try out the new design of the Leaf Urban which doesn't disappoint.The app has had many changes and upgrades since the beginning, to include more meditation options and customized activities. I've been enjoying all the updates and seeing where they go!",I always wear it clipped to my pants which is the recommended best spot for calculating steps anyway,5
2017-03-29,"I'm happy with the purchase. Prior to the Leaf, I've used two different Fitbit trackers and I hated the rubber band. And my rose-gold Leaf tracker looks much more like jewelry.Pros: Synching is easy. The app has meditation downloads; some are effective and some are cheesy, but they are a good reminder of what I need more of. I really like the Stress Sensitivity tracker, a feature that calculates steps plus sleep plus meditation. Again, it's common sense, but seeing the percentage climb if I did not sleep enough is a good reminder.Cons: The width of the tracker is thicker than I imagined, so I'm attaching a photo for others to see.I have not had the problem of the tracker falling off, and I have not yet tried wearing it attached to a necklace or clothes. The leather band that comes with it works well and is comfortable.Suggestions for Designers: I wish I could connect with my other fitness buddies. I did enjoy various weekly challenges with friends. Oh, and I LOVE not having to recharge this weekly. Big plus.",I'd buy it again.,4
2017-04-04,"I'd been eyeing this product for a while after I saw an ad on Facebook.  I couldn't really justify paying so much for it when i already had a fitbit.  But the fitbit was starting to really irritate my skin and I wanted something that gave me more options on where to wear it and this seemed to be a great choice.  However, I have to say, it fell short of my expectations.Pros:1. versatility to wear in different ways (bracelet, necklace, or clip)2. is much prettier than any other activity tracker3. syncs to the app much faster than my fitbit4. it helps track your period (no other activity tracker does that, that I'm aware of)Cons:1. the product comes with the double wrap bracelet, but only in S/M, which is too small for me (the large is an additional $24)2. when worn as a necklace, it's a bit heavy and tends to stick to my skin (the backside is flat metal)3. the app won't allow me to choose an earlier time for bed before 9pm (I know that may not be an issue for some, but I get up really early, so I have to go to bed early)4. the alarm is kind of a joke; the device vibrates, but I almost can't feel it and it never wakes me up.  I also have one set to remind me to take my vitamins in the evening and at this point, I have never felt it go off.5. it doesn't seem to log any activity unless its continuous for at least 5 min (no step tracking at all unless it logs activity of 5 min or more)6. the stress tracking doesn't make a whole lot of sense; during the day, I usually feel very stressed at work, but it says I'm stress resistantFor me, the cons far outweigh the pros.  I wish I could have tested this out before I spent over $120.  I definitely would not have bought this.",Disappointing,2
2017-05-28,"I got this for my wife to help her during her recovery from several medical conditions. We wanted it to track her walking, monitor her stress, remind her when she hadn't moved in a while and to record her sleep. Overall, we feel like it's let us down. Here's why:1) It does not appear to be sensitive enough to capture when she is walking. In her condition, she walks slowly but for about half an hour. Only once in the last 2 weeks has it recorded any of her walking and then only 5 minutes of it.2) The stress monitor is not really a stress monitor; it is a measure of your stress sensitivity. Not quite the same thing. We thought it would try to detect when you were getting stressed and let you know that you needed to address your stress.3) It has yet to remind her (that we can tell) that she has been inactive for too long. It turns out that by default this is turned off. Shame on me for not finding that. However, I would think that the default would be set to something like the 4 hour level.This review has forced me to look at the instructions and troubleshooting pages and that has helped. My biggest gripe and warning is that the leaf does not have a great setup routine that helps you understand exactly what you need to set and why. The user's manual is pretty much only useful for changing the battery. You really need to go to their website to understand what it can do and how to set everything for what you need.So, looking back at my review, I think a bit of it is because of our misunderstanding of how to use the leaf and too many assumptions that it had reasonable defaults setup. If you get one, make sure you take the time to go through the webpage to look at how to really customize it.On a side note, both our daughters have one and they like it a lot.",Don't assume the leaf has great defaults out of the box; you need to customize it,3
2017-04-12,"I love it! I spent a lot of time and research on activity trackers, and was *this close* to purchasing the Fitbit Charge 2. However I didn't like the thought of giving up my watch and always having to wear something on my wrist. I love the flexibility of the Leaf options (bracelet, necklace, clip). I've received so many compliments on my ""jewelry"" and enjoy telling people that it's actually an activity tracker designed with women in mind. I adore the guided meditation capabilities, as I've been trying to incorporate mindfulness into my life (and failing miserably, before the Leaf came along). Overall, I couldn't be happier with this new introduction to my life, it's helping me improve my activity level and sense of well-being. If you're on the fence, get it, you won't be disappointed!","Improving my activity level and sense of well-being, I love it!",5
2017-03-14,"I love love this product. It's amazing. I have a decently hectic schedule and this little leaf has been integral in my focusing on self care. A few things that attracted me:1. Design, it's chic and fashionable which works for me2. It can be clipped on clothing, worn as a bracelet or necklace. The versatility there is more than enough for me and it looks beautiful3. It tracks my sleep, I clip mine to my shirt when I go to bed and it keeps track of sleep for me4. Period tracking, no more trying to figure out when I'm getting my period.  Now I have it recorded5. It's such an easy way to focus on self care.I cannot explain how much this little guy does, for the days when my life is hectic remembering to take care of myself goes out the door. But having a reminder to mediate (there these amazing guided meditations that take a few minutes but are incredibly centering), to move and sleep goes a long way. Additionally it lets me know about how susceptible I am to stress during the day and how I can take care of myself. It's worth the price and time to use it, personally I wouldn't go with any other brand. For anyone who wants a little bit more this is the tool to use.",Amazing.,5
