,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,product
1,2,9,4,1,7,2,4,10,5,14,9,Leaf
2,3,1,1,0,2,2,1,1,4,5,1,Leaf
3,6,18,3,6,17,7,7,17,15,31,16,Leaf
4,4,0,1,3,5,3,1,4,8,12,4,Leaf
5,1,5,2,0,5,2,1,5,5,10,5,Leaf
6,0,3,0,1,4,2,1,4,3,8,5,Leaf
7,0,2,0,1,1,2,1,2,8,3,-5,Leaf
8,2,7,2,5,1,3,0,7,7,6,-1,Leaf
9,2,7,1,2,4,3,0,5,5,10,5,Leaf
10,0,4,0,0,2,1,0,2,3,7,4,Leaf
11,1,6,1,2,3,2,3,7,3,10,7,Leaf
12,1,5,2,3,4,3,1,7,5,10,5,Leaf
13,3,6,1,4,1,1,1,3,5,5,0,Leaf
14,1,2,0,1,1,0,0,3,2,5,3,Leaf
15,1,4,0,5,3,1,1,6,5,6,1,Leaf
16,1,3,0,1,2,0,2,6,3,5,2,Leaf
17,2,4,0,1,2,3,0,2,5,4,-1,Leaf
18,0,4,0,0,5,1,2,5,3,9,6,Leaf
19,2,3,0,1,3,0,2,2,5,5,0,Leaf
20,0,3,0,0,4,0,1,2,0,6,6,Leaf
21,0,4,0,1,2,2,0,3,4,6,2,Leaf
22,1,3,2,1,5,1,2,7,5,9,4,Leaf
23,0,6,2,1,6,2,2,6,5,10,5,Leaf
24,2,0,1,1,2,1,0,4,4,7,3,Leaf
25,0,1,0,0,1,0,0,1,0,1,1,Leaf
26,0,4,0,0,1,0,0,3,2,4,2,Leaf
27,8,9,3,3,6,5,2,13,15,21,6,Leaf
28,0,4,0,0,3,1,1,3,3,5,2,Leaf
29,1,4,0,0,8,1,1,6,4,11,7,Leaf
30,1,5,1,2,6,1,3,6,6,11,5,Leaf
31,1,1,0,0,2,0,0,2,4,6,2,Leaf
32,0,2,0,0,2,0,0,4,0,3,3,Leaf
33,2,3,4,4,5,2,1,7,7,12,5,Leaf
34,0,0,0,0,1,0,0,2,0,2,2,Leaf
35,1,4,0,2,7,1,0,4,2,9,7,Leaf
36,1,3,1,1,4,2,2,3,3,6,3,Leaf
37,0,2,1,0,2,0,0,3,2,5,3,Leaf
38,0,0,0,0,2,0,0,2,1,4,3,Leaf
39,2,4,2,2,4,3,2,5,5,6,1,Leaf
40,0,1,1,1,1,1,1,4,2,4,2,Leaf
41,0,2,0,1,2,0,0,5,1,6,5,Leaf
42,0,3,0,1,3,3,2,4,4,5,1,Leaf
43,1,2,0,0,3,1,0,4,1,9,8,Leaf
44,0,3,0,2,4,2,1,5,4,5,1,Leaf
45,0,2,0,0,1,0,0,1,2,2,0,Leaf
46,0,1,0,0,2,0,1,3,2,4,2,Leaf
47,1,2,0,1,4,2,1,4,4,4,0,Leaf
48,0,1,0,0,2,1,0,1,1,3,2,Leaf
